run,score,time,step
1,2104,722.913,88
1,2104,1223.47,161
1,2117,1877.24,251
1,2111,2510.29,334
1,2109,3031.25,423
1,2097,3677.67,506
1,2111,4439.22,587
1,2104,5470.18,682
1,2093,5844.44,747
1,2118,6492.55,832
1,2105,6819.97,907
1,2124,7353,1005
1,2101,7743.41,1085
1,2097,8236.98,1164
1,2120,9103.55,1267
1,2110,9580.17,1360
1,2115,10575.6,1463
1,2108,11134.2,1544
1,2130,11832.5,1639
1,2120,12466,1731
1,2109,13156.4,1823
1,2115,13667.9,1908
1,2112,14697.9,2006
1,2121,15159.7,2091
1,2112,16109.1,2199
1,2110,16628.5,2284
1,2095,17298,2362
1,2124,17676.3,2446
1,2116,18146.6,2523
1,2111,18760.6,2606
1,2108,19180,2698
1,2108,19565.7,2773
1,2118,20331.2,2870
1,2110,21298.1,2967
1,2122,21943.5,3067
1,2124,22769.5,3168
1,2107,23452.4,3255
1,2105,24136.7,3342
1,2112,24789.7,3443
1,2127,25417.9,3529
1,2098,25863.2,3607
1,2115,26549.1,3695
1,2087,27094.7,3769
1,2119,27896.5,3857
1,2120,28590.3,3950
1,2106,28936.2,4035
1,2109,29334.3,4115
1,2107,29745.1,4203
1,2114,29934.3,4265
1,2122,30995.3,4372
1,2108,31298,4456
1,2116,31774,4552
1,2100,32218,4628
1,2112,32858.7,4722
1,2111,33488,4813
1,2118,34361.3,4913
1,2106,34823.8,5003
1,2113,35214.8,5079
1,2116,35752.7,5170
1,2119,36687.7,5271
1,2113,37466.7,5377
1,2120,37988.2,5469
1,2109,38439.6,5551
1,2109,38974.7,5643
1,2115,39490,5725
1,2101,40104.2,5807
1,2116,40857.5,5901
1,2124,41574.3,6003
1,2112,42021.7,6084
1,2117,42727.4,6187
1,2100,43121.6,6265
1,2109,43649.1,6343
1,2096,44017.6,6425
1,2108,44324.8,6506
1,2123,44633.1,6587
1,2109,45647.1,6687
1,2110,46520.1,6784
1,2110,47005.3,6870
1,2108,47421.3,6950
1,2122,48066.4,7046
1,2108,48771.8,7142
1,2113,49431.3,7243
1,2096,50122.4,7331
1,2118,50723.4,7431
1,2114,51280.6,7513
1,2103,51847.2,7596
1,2125,52593.7,7686
1,2101,53164.8,7773
1,2105,53858.2,7865
1,2109,54463.2,7943
1,2110,55351,8048
1,2109,55929.4,8136
1,2096,56376.3,8214
1,2105,56966.5,8310
1,2112,57355.8,8385
1,2110,58000.9,8479
1,2109,58504.5,8561
1,2107,58888,8629
1,2105,59252.9,8722
1,2118,60264.2,8836
1,2126,60968.8,8930
1,2119,61488.9,9017
1,2110,61891.3,9101
1,2109,62454,9185
1,2118,63123.1,9286
1,2102,63815.4,9378
1,2132,64933.7,9492
1,2110,65205,9565
1,2110,65696.1,9643
1,2114,66112.2,9734
1,2120,66647.9,9830
1,2115,67449.3,9924
1,2115,67798.2,10010
1,2114,68492.6,10104
1,2103,68830.3,10182
1,2106,69734.8,10272
1,2108,70252.9,10360
1,2107,70812.1,10443
1,2110,71288.3,10535
1,2135,72231.9,10639
1,2125,73038.6,10735
1,2117,73843.6,10825
1,2118,74525.3,10913
1,2104,75046.2,11003
1,2109,75535.4,11074
1,2114,75864.2,11153
1,2107,76504.1,11245
1,2117,76970.7,11333
1,2114,77831.3,11425
1,2112,78113.6,11505
1,2116,78665.3,11608
1,2121,79594.5,11707
1,2113,80506.9,11798
1,2107,80946,11874
1,2120,81571.8,11963
1,2112,82147.3,12053
1,2112,82751.6,12155
1,2126,83396.8,12248
1,2113,83851.2,12330
1,2101,84235.9,12407
1,2104,84906.4,12486
1,2112,85536.6,12575
1,2121,86175.6,12670
1,2112,86673.9,12751
1,2118,87152.5,12845
1,2111,87624,12935
1,2123,88196.3,13023
1,2117,88707.3,13109
1,2103,88977.2,13184
1,2114,89719,13271
1,2128,90178,13358
1,2112,90656.6,13453
1,2121,91411.3,13547
1,2115,92118.1,13643
1,2126,92758.9,13735
1,2118,93525.1,13833
1,2113,93923.3,13916
1,2105,94361.6,13992
1,2114,95045.8,14077
1,2122,95637.8,14174
1,2110,96376.3,14259
1,2100,96815.3,14334
1,2120,97059.6,14422
1,2130,97856.1,14532
1,2107,98429.6,14619
1,2107,98883.1,14699
1,2115,99594.9,14798
1,2110,100223,14888
1,2112,100681,14974
1,2103,101247,15059
1,2100,101691,15134
1,2125,102121,15233
1,2126,102827,15334
1,2127,103760,15434
1,2115,104535,15540
1,2122,105240,15635
1,2126,106118,15738
1,2125,106992,15844
1,2122,107593,15931
1,2127,108373,16023
1,2101,108931,16101
1,2121,109373,16179
1,2110,110212,16286
1,2126,110640,16367
1,2107,111233,16451
1,2113,111685,16532
1,2115,112318,16620
1,2113,113065,16710
1,2116,113708,16803
1,2131,114185,16898
1,2091,114563,16972
1,2106,115126,17054
1,2109,115522,17136
1,2129,115958,17212
1,2109,116420,17297
1,2110,116821,17384
1,2105,117205,17462
1,2110,117571,17556
1,2112,117858,17636
1,2113,118419,17716
1,2125,118940,17808
1,2124,119498,17913
1,2096,119762,17985
1,2124,120482,18090
1,2125,121462,18191
1,2108,121850,18269
1,2112,122296,18349
1,2112,122858,18432
1,2108,123149,18516
1,2121,123786,18610
1,2118,124216,18706
1,2130,124850,18794
1,2112,125254,18878
1,2120,125874,18960
1,2111,126490,19040
1,2114,127186,19133
1,2122,127822,19232
1,2109,128535,19322
1,2112,129166,19411
1,2103,129803,19501
1,2107,130158,19588
1,2115,130725,19670
1,2116,131374,19767
1,2113,131850,19858
1,2118,132323,19950
1,2107,132897,20038
1,2103,133532,20128
1,2115,133794,20198
1,2103,134139,20280
1,2111,134547,20367
1,2119,135309,20465
1,2133,136599,20579
1,2104,137156,20662
1,2115,137492,20740
1,2100,137935,20816
1,2114,138687,20909
1,2112,139254,20995
1,2099,139520,21068
1,2101,139973,21149
1,2103,140622,21242
1,2115,141701,21345
1,2130,142425,21450
1,2108,143301,21548
1,2112,144020,21638
1,2112,144693,21736
1,2103,145210,21822
1,2122,145983,21923
1,2105,146438,22006
1,2114,146893,22088
1,2113,147523,22174
1,2106,147857,22251
1,2106,148437,22340
1,2110,148991,22421
1,2097,149295,22506
2,2114,631.276,80
2,2109,1399.58,178
2,2119,1685.91,258
2,2117,2390.49,355
2,2105,3209.16,448
2,2109,3595.51,525
2,2101,4226.87,615
2,2107,4673.99,697
2,2110,5012.08,775
2,2106,5576.96,854
2,2122,6129.75,929
2,2111,6653.94,1018
2,2115,7226.63,1104
2,2106,7636.76,1187
2,2130,8653.01,1298
2,2117,9189.04,1392
2,2108,9746.25,1470
2,2110,10473.3,1553
2,2116,11227,1645
2,2124,11831.5,1743
2,2113,12286,1826
2,2109,13038.2,1916
2,2107,13485.4,1995
2,2110,13900.2,2088
2,2101,14197.1,2174
2,2119,14945.6,2267
2,2134,15554.9,2365
2,2113,16012.9,2448
2,2121,16647.6,2534
2,2121,17589.6,2631
2,2133,18267.8,2735
2,2129,18862.7,2834
2,2115,19309.7,2936
2,2096,19590.4,3015
2,2105,20040.2,3099
2,2116,20565.6,3186
2,2109,21037.4,3277
2,2088,21432.1,3346
2,2112,22030.7,3432
2,2101,22550.8,3517
2,2134,23117.9,3627
2,2106,23575.1,3712
2,2110,23906,3789
2,2123,24604.6,3884
2,2116,25348.8,3974
2,2104,25779.8,4047
2,2112,26283.1,4127
2,2114,27012.8,4210
2,2112,27468.4,4292
2,2112,27994.5,4380
2,2102,28331,4459
2,2111,28976.6,4554
2,2106,29541.3,4636
2,2107,30028.6,4708
2,2117,30626.4,4804
2,2114,31437.7,4901
2,2114,32122.6,4989
2,2106,32845.1,5094
2,2098,33289.2,5170
2,2096,34177.6,5261
2,2114,34564.4,5339
2,2111,35054.7,5413
2,2129,35701.1,5512
2,2104,36191.9,5596
2,2123,36703.9,5688
2,2112,37172.3,5766
2,2107,37480.7,5839
2,2115,38087.7,5928
2,2105,38526.7,6003
2,2112,39060.8,6099
2,2123,39429.4,6192
2,2105,40062.8,6283
2,2110,40650.6,6363
2,2094,41125.8,6441
2,2105,41884.4,6534
2,2130,43122.7,6649
2,2111,44155.6,6744
2,2098,44621.2,6832
2,2115,45137.4,6921
2,2111,45883.2,7008
2,2118,46520.5,7098
2,2120,46911.5,7177
2,2097,47365.1,7260
2,2112,47985.6,7345
2,2105,48496,7426
2,2103,48941.1,7507
2,2105,49167.7,7584
2,2118,50048.2,7686
2,2101,50295.2,7761
2,2100,50660.7,7842
2,2103,51391.2,7938
2,2123,51785,8018
2,2107,52604.7,8119
2,2113,53352.5,8209
2,2116,54221.1,8305
2,2121,54765,8402
2,2097,55486.4,8482
2,2091,55746.9,8550
2,2115,56678.3,8649
2,2111,57420.8,8738
2,2115,57923.7,8820
2,2116,58443.2,8908
2,2099,59176.7,8997
2,2109,59563.2,9072
2,2117,60489.7,9172
2,2111,61235.6,9264
2,2125,61639.5,9349
2,2130,62665.1,9464
2,2123,63250.1,9556
2,2100,63756.2,9635
2,2108,64667.7,9726
2,2096,65225.6,9805
2,2122,65580.2,9890
2,2100,66265.1,9977
2,2109,66945.1,10062
2,2114,67639.2,10156
2,2119,68513.3,10278
2,2111,69373.1,10369
2,2105,69713.8,10449
2,2108,70220.2,10532
2,2122,70562.7,10615
2,2100,71079.7,10701
2,2108,71534.7,10790
2,2118,72369.6,10885
2,2118,72844.7,10977
2,2103,73347.2,11057
2,2107,73961.2,11137
2,2120,74613.1,11235
2,2130,75203.2,11328
2,2115,75791.3,11420
2,2116,76254.1,11504
2,2102,76568.8,11572
2,2120,77220.2,11672
2,2105,77778.9,11754
2,2115,78464.2,11844
2,2115,79221.4,11941
2,2109,79742.2,12031
2,2096,80255.1,12116
2,2104,80704.2,12195
2,2096,81041.9,12274
2,2132,81514.7,12363
2,2121,82041.6,12452
2,2115,82896.1,12548
2,2103,83324.1,12632
2,2121,83904.2,12721
2,2108,84417.8,12805
2,2105,85299.9,12909
2,2098,85690.9,12987
2,2105,86529.4,13073
2,2121,87127.9,13169
2,2102,87417.4,13252
2,2104,87805.5,13328
2,2122,88811.8,13435
2,2111,89444,13521
2,2124,89862.1,13611
2,2109,90903.7,13713
2,2117,91297.3,13791
2,2115,92132.7,13898
2,2097,92810.1,13983
2,2119,93238.3,14079
2,2089,93639.3,14161
2,2098,94097.5,14245
2,2123,94499.5,14328
2,2110,95117.7,14412
2,2116,95576.5,14494
2,2118,95981.2,14582
2,2108,96375.2,14664
2,2103,97140.1,14755
2,2109,97682.6,14851
2,2112,97962.7,14929
2,2115,98618.5,15028
2,2106,99145.5,15119
2,2101,99777,15205
2,2106,100294,15290
2,2114,101115,15390
2,2108,101694,15478
2,2114,102144,15561
2,2113,102731,15652
2,2120,103374,15747
2,2115,103765,15826
2,2100,104397,15915
2,2123,104734,15995
2,2120,105242,16080
2,2118,105764,16168
2,2116,106283,16258
2,2114,106738,16341
2,2105,107144,16427
2,2119,107506,16516
2,2120,108037,16610
2,2114,108687,16706
2,2119,109119,16799
2,2131,109865,16911
2,2120,110459,17008
2,2110,110981,17098
2,2104,111545,17180
2,2103,111818,17254
2,2119,112217,17339
2,2087,112598,17411
2,2109,113419,17509
2,2118,113813,17591
2,2118,114413,17691
2,2104,114806,17769
2,2102,116080,17869
2,2103,116598,17954
2,2114,117238,18045
2,2101,117556,18113
2,2098,117813,18181
2,2104,118339,18273
2,2115,119023,18361
2,2129,119561,18456
2,2113,119936,18528
2,2102,120344,18615
2,2109,121162,18712
2,2127,122119,18825
2,2123,122821,18918
2,2117,123464,19014
2,2104,123887,19084
2,2109,124212,19159
2,2111,124775,19240
2,2100,125233,19323
2,2117,125634,19407
2,2120,125990,19496
2,2116,126879,19600
2,2124,127423,19699
2,2106,128003,19790
2,2111,128409,19877
2,2098,128917,19958
2,2103,129230,20027
2,2121,129989,20127
2,2093,130314,20199
2,2108,130814,20277
2,2128,131225,20366
2,2108,132043,20463
2,2107,132320,20540
2,2107,132849,20632
2,2106,133186,20708
2,2101,133732,20781
2,2127,134508,20886
2,2099,134959,20966
2,2126,135668,21066
2,2121,136566,21172
2,2098,136965,21255
2,2121,137777,21348
2,2122,138344,21432
2,2119,139162,21531
2,2113,140602,21621
2,2102,140960,21701
2,2119,141365,21785
2,2115,142016,21882
2,2104,142646,21959
2,2119,143071,22042
2,2122,143756,22131
2,2121,144337,22221
2,2117,144915,22312
2,2111,145472,22395
2,2102,146475,22498
2,2102,146898,22577
2,2101,147439,22660
2,2120,148295,22756
2,2139,149722,22884
2,2103,150054,22959
3,2117,875.614,86
3,2100,1326.64,160
3,2119,2111.81,250
3,2112,2598,339
3,2124,3240.48,420
3,2114,3896.71,510
3,2115,4233.4,591
3,2099,4869.53,671
3,2112,5616.81,755
3,2111,6262.96,845
3,2118,6783.35,927
3,2112,7747.3,1034
3,2120,8407.46,1129
3,2117,8701.31,1208
3,2115,9383.47,1298
3,2103,9904.17,1378
3,2091,10387.9,1452
3,2112,11019.7,1539
3,2096,11880.9,1626
3,2111,12979.3,1728
3,2105,13515.5,1804
3,2106,14257.6,1883
3,2115,14980.4,1972
3,2136,16090.7,2082
3,2098,16929.6,2165
3,2114,17628.7,2247
3,2094,18039,2325
3,2118,18847.2,2419
3,2099,19355.8,2491
3,2113,19845,2575
3,2124,20533.1,2664
3,2112,21252.6,2748
3,2118,21926.7,2829
3,2104,22282.2,2896
3,2116,23052.1,2988
3,2114,23506,3067
3,2097,23971.9,3150
3,2112,24526.6,3230
3,2103,25238.9,3318
3,2108,25733.5,3387
