run,score,time,iteration,step
1,1866,195.24,1,1
1,1874,197.816,1,2
1,1881,200.237,1,3
1,1888,202.453,1,4
1,1895,204.649,1,5
1,1901,206.885,1,6
1,1907,209.165,1,7
1,1914,211.358,1,8
1,1919,213.543,1,9
1,1924,215.717,1,10
1,1929,217.888,1,11
1,1934,220.056,1,12
1,1939,222.246,1,13
1,1944,224.619,1,14
1,1949,226.776,1,15
1,1954,228.919,1,16
1,1959,231.062,1,17
1,1963,233.206,1,18
1,1967,235.337,1,19
1,1971,237.465,1,20
1,1975,239.653,1,21
1,1978,241.821,1,22
1,1981,243.964,1,23
1,1986,246.106,1,24
1,1990,248.239,1,25
1,1993,250.384,1,26
1,1996,252.572,1,27
1,1999,254.76,1,28
1,2003,256.895,1,29
1,2006,259.017,1,30
1,2009,261.145,1,31
1,2012,263.263,1,32
1,2015,265.386,1,33
1,2018,267.509,1,34
1,2021,269.867,1,35
1,2024,272.103,1,36
1,2027,274.277,1,37
1,2029,276.441,1,38
1,2031,278.605,1,39
1,2033,280.778,1,40
1,2035,282.952,1,41
1,2037,285.297,1,42
1,2039,288.379,1,43
1,2043,291.29,1,44
1,2046,293.546,1,45
1,2048,295.714,1,46
1,2050,297.87,1,47
1,2052,300.102,1,48
1,2055,303.294,1,49
1,2057,306.787,1,50
1,2059,309.746,1,51
1,2061,312.2,1,52
1,2064,314.371,1,53
1,2067,316.808,1,54
1,2069,319.098,1,55
1,2070,321.283,1,56
1,2071,323.462,1,57
1,2072,325.636,1,58
1,2073,327.82,1,59
1,2074,329.995,1,60
1,2076,332.282,1,61
1,2078,334.511,1,62
1,2080,336.673,1,63
1,2082,338.839,1,64
1,2083,341.001,1,65
1,2086,343.162,1,66
1,2087,345.316,1,67
1,2088,347.565,1,68
1,2090,349.944,1,69
1,2091,352.143,1,70
1,2092,354.322,1,71
1,2093,356.501,1,72
1,2094,358.674,1,73
1,2096,418.699,1,75
1,2097,478.335,1,77
1,2098,538.32,1,79
1,2099,540.566,1,80
1,2100,600.03,1,82
1,2101,602.233,1,83
1,2102,604.323,1,84
1,2104,663.953,1,86
1,2106,1659.7,3,238
1,2107,1664.14,3,239
1,2108,1667.96,3,240
1,2110,1671.69,3,241
1,2111,1675.48,3,242
1,2112,1679.59,3,243
1,2113,1683.47,3,244
1,2114,1746.78,3,246
1,2116,1750.86,3,247
1,2117,1813.73,3,249
1,2118,6430.41,10,830
1,2119,7168.07,12,996
1,2120,7226.58,12,998
1,2121,7229.47,12,999
1,2122,7231.84,12,1000
1,2123,7290.52,12,1002
1,2124,7292.69,12,1003
1,2125,11594.3,19,1630
1,2126,11652.6,19,1632
1,2127,11654.8,19,1633
1,2129,11712.1,19,1635
1,2130,11772.6,19,1637
1,2131,64816.9,107,9488
1,2132,64874.5,107,9490
1,2134,72112,120,10635
1,2135,72172.1,120,10637
2,1915,3.64282,1,1
2,1923,6.79416,1,2
2,1931,9.76392,1,3
2,1939,12.7175,1,4
2,1946,15.6569,1,5
2,1952,18.582,1,6
2,1958,21.3998,1,7
2,1964,23.9187,1,8
2,1970,26.3974,1,9
2,1976,28.8631,1,10
2,1981,31.3275,1,11
2,1986,33.773,1,12
2,1991,36.2572,1,13
2,1996,38.5871,1,14
2,2001,40.675,1,15
2,2006,42.7376,1,16
2,2010,44.7891,1,17
2,2014,46.8363,1,18
2,2018,48.8895,1,19
2,2021,51.0425,1,20
2,2024,53.2113,1,21
2,2027,55.296,1,22
2,2030,57.3716,1,23
2,2033,59.4453,1,24
2,2035,61.5138,1,25
2,2037,63.5827,1,26
2,2041,65.656,1,27
2,2045,67.7379,1,28
2,2047,69.8195,1,29
2,2049,71.8979,1,30
2,2053,73.9644,1,31
2,2057,76.0326,1,32
2,2059,78.109,1,33
2,2062,80.1799,1,34
2,2064,82.4138,1,35
2,2066,84.645,1,36
2,2068,86.7317,1,37
2,2070,88.8033,1,38
2,2071,90.8739,1,39
2,2072,92.9495,1,40
2,2073,95.0409,1,41
2,2074,97.1256,1,42
2,2077,99.2313,1,43
2,2080,101.347,1,44
2,2082,103.446,1,45
2,2084,105.539,1,46
2,2086,107.632,1,47
2,2087,109.719,1,48
2,2088,111.811,1,49
2,2090,114.135,1,50
2,2091,117.249,1,51
2,2092,119.935,1,52
2,2093,122.102,1,53
2,2094,124.212,1,54
2,2095,126.308,1,55
2,2096,128.411,1,56
2,2097,131.103,1,57
2,2098,134.444,1,58
2,2099,137.245,1,59
2,2100,140.049,1,60
2,2102,201.116,1,62
2,2103,203.329,1,63
2,2105,263.395,1,65
2,2106,322.44,1,67
2,2107,383.147,1,69
2,2108,443.538,1,71
2,2109,446.048,1,72
2,2110,505.41,1,74
2,2112,507.616,1,75
2,2113,567.613,1,77
2,2114,569.857,1,78
2,2115,1618.19,3,253
2,2116,1620.33,3,254
2,2118,1622.42,3,255
2,2119,1624.51,3,256
2,2120,6009.87,11,925
2,2122,6069.57,11,927
2,2123,8290.18,15,1284
2,2124,8349.9,15,1286
2,2125,8352.13,15,1287
2,2126,8410.01,15,1289
2,2127,8412.44,15,1290
2,2128,8474.76,15,1292
2,2129,8533.36,15,1294
2,2130,8592.84,15,1296
2,2131,15430.1,27,2359
2,2132,15432.4,27,2360
2,2133,15434.6,27,2361
2,2134,15493.2,27,2363
2,2136,149542,260,22878
2,2138,149602,260,22880
2,2139,149661,260,22882
3,1886,274.143,1,1
3,1894,278.23,1,2
3,1902,281.948,1,3
3,1910,285.659,1,4
3,1917,289.06,1,5
3,1924,293.293,1,6
3,1930,296.648,1,7
3,1936,299.873,1,8
3,1942,303.336,1,9
3,1947,306.645,1,10
3,1952,309.847,1,11
3,1957,313.183,1,12
3,1962,317.486,1,13
3,1967,321.59,1,14
3,1973,325.53,1,15
3,1977,329.147,1,16
3,1981,332.708,1,17
3,1986,335.93,1,18
3,1990,339.184,1,19
3,1994,342.798,1,20
