run,score,time,step
1,2121,28514.3,94
1,2124,73809.5,198
1,2096,91787.7,275
1,2096,113050,350
2,2108,24825.7,88
2,2125,73724.8,192
2,2115,105302,287
2,2117,113234,369
2,2116,131210,452
3,2110,21654.2,90
3,2102,46401.8,172
3,2113,78066.2,263
3,2125,103081,363
3,2105,145110,458
4,2097,24746.2,81
4,2093,42751.9,161
4,2116,54049.1,241
4,2107,68748.6,325
4,2118,97203.5,422
4,2116,118613,505
5,2095,17986.3,76
5,2100,32678.1,158
5,2111,53993.1,235
5,2110,78858.9,324
5,2114,86697,397
5,2101,114832,480
5,2110,139500,555
6,2128,18397.7,96
6,2106,43295.9,178
6,2112,57902.8,253
6,2121,82717.5,338
6,2124,114447,437
6,2109,149457,518
7,2115,14914.6,89
7,2102,26491.1,164
7,2111,48172,250
7,2093,76448.8,326
7,2097,84254.8,391
7,2119,126246,499
8,2112,52253.5,100
8,2121,84259.6,196
8,2102,95576.9,271
8,2116,131078,377
8,2125,145797,453
9,2106,21626.7,81
9,2109,49946,160
9,2116,71679.7,254
9,2096,93225.4,339
9,2118,108438,432
9,2103,130109,517
9,2124,148456,609
10,2103,25085.6,82
10,2129,61088.7,193
10,2113,79261.2,270
10,2108,111184,363
10,2101,137822,450
