run,score,time,iteration,step
1,1860,21.6074,1,1
1,1869,37.2655,1,2
1,1878,52.0973,1,3
1,1887,66.8659,1,4
1,1895,81.8718,1,5
1,1903,96.6164,1,6
1,1910,111.385,1,7
1,1917,127.559,1,8
1,1923,144.534,1,9
1,1929,159.693,1,10
1,1935,174.625,1,11
1,1940,189.899,1,12
1,1945,204.739,1,13
1,1950,219.559,1,14
1,1955,234.32,1,15
1,1960,249.12,1,16
1,1965,263.846,1,17
1,1969,278.572,1,18
1,1973,293.401,1,19
1,1977,308.09,1,20
1,1981,322.895,1,21
1,1985,339.444,1,22
1,1989,359.685,1,23
1,1993,374.834,1,24
1,1997,390.027,1,25
1,2002,404.95,1,26
1,2006,419.778,1,27
1,2011,434.725,1,28
1,2015,450.603,1,29
1,2019,465.372,1,30
1,2022,480.046,1,31
1,2025,494.767,1,32
1,2030,509.509,1,33
1,2033,524.28,1,34
1,2037,542.635,1,35
1,2040,561.755,1,36
1,2043,579.358,1,37
1,2046,594.604,1,38
1,2049,609.554,1,39
1,2052,624.639,1,40
1,2054,639.53,1,41
1,2057,654.581,1,42
1,2059,669.348,1,43
1,2061,684.141,1,44
1,2063,698.841,1,45
1,2065,713.567,1,46
1,2067,728.289,1,47
1,2069,745.255,1,48
1,2071,762.539,1,49
1,2073,777.594,1,50
1,2075,794.085,1,51
1,2077,809.124,1,52
1,2078,823.928,1,53
1,2079,840.322,1,54
1,2082,855.118,1,55
1,2085,870.015,1,56
1,2087,884.845,1,57
1,2088,902.637,1,58
1,2089,919.431,1,59
1,2092,936.723,1,60
1,2093,954.696,1,61
1,2094,972.284,1,62
1,2095,987.585,1,63
1,2096,1006.11,1,64
1,2097,1025.92,1,65
1,2098,1045.59,1,66
1,2099,1070.7,1,67
1,2100,1088.81,1,68
1,2101,1106.06,1,69
1,2102,1122.79,1,70
1,2103,1139.87,1,71
1,2104,4566.33,1,73
1,2105,8039.92,1,75
1,2106,8054.72,1,76
1,2107,11462.3,1,78
1,2109,11477.1,1,79
1,2110,11492,1,80
1,2111,11509.3,1,81
1,2113,14907.2,1,83
1,2114,18307.4,1,85
1,2116,21680.1,1,87
1,2117,21695,1,88
1,2118,21709.7,1,89
1,2120,25089.6,1,91
1,2121,25104.4,1,92
1,2122,67019.5,2,193
1,2123,70408.3,2,195
1,2124,70424.3,2,196
2,1858,18.5477,1,1
2,1867,33.3925,1,2
2,1876,48.141,1,3
2,1884,62.8694,1,4
2,1892,78.6352,1,5
2,1899,96.0061,1,6
2,1906,111.516,1,7
2,1912,126.368,1,8
2,1918,141.156,1,9
2,1924,155.98,1,10
2,1930,170.721,1,11
2,1935,185.554,1,12
2,1940,200.28,1,13
2,1945,215.025,1,14
2,1949,229.772,1,15
2,1953,244.663,1,16
2,1957,259.378,1,17
2,1961,274.232,1,18
2,1965,290.697,1,19
2,1969,307.968,1,20
2,1975,323.817,1,21
2,1979,338.905,1,22
2,1983,353.758,1,23
2,1987,368.536,1,24
2,1991,383.299,1,25
2,1995,398.091,1,26
2,2000,413.884,1,27
2,2005,429.137,1,28
2,2008,444.868,1,29
2,2011,460.226,1,30
2,2016,474.984,1,31
2,2019,491.354,1,32
2,2022,508.747,1,33
2,2026,526.421,1,34
2,2029,541.513,1,35
2,2032,556.449,1,36
2,2035,571.334,1,37
2,2038,586.275,1,38
2,2041,601.093,1,39
2,2045,615.873,1,40
2,2049,630.63,1,41
2,2051,645.389,1,42
2,2054,660.134,1,43
2,2056,674.893,1,44
2,2058,691.146,1,45
2,2060,710.187,1,46
2,2062,725.32,1,47
2,2064,741.187,1,48
2,2066,757.61,1,49
2,2068,773.892,1,50
2,2070,790.272,1,51
2,2072,805.433,1,52
2,2074,820.169,1,53
2,2077,834.92,1,54
2,2079,849.73,1,55
2,2080,864.469,1,56
2,2081,879.184,1,57
