run,score,time,step
1,2086,1046.73,67
1,2093,1989,128
1,2091,3069.94,198
1,2110,4229.66,274
1,2095,5199.71,337
1,2107,6366.19,413
1,2094,7426.26,481
1,2087,8443.59,547
1,2084,9543.44,618
1,2099,10608.2,687
1,2079,11758.8,761
1,2112,13115.7,848
1,2090,14104.4,912
1,2097,15138,979
1,2106,16379,1059
1,2089,17292.5,1117
1,2094,18219.7,1177
1,2089,19149.1,1238
1,2103,20262,1311
1,2089,21456,1389
1,2105,22566.1,1462
1,2108,23553.3,1526
1,2096,24541.9,1590
1,2104,25878.6,1676
1,2100,26819.9,1737
1,2109,28040,1816
1,2098,29254.8,1895
1,2086,30096,1950
1,2099,31258.7,2021
1,2103,32520.2,2102
1,2121,33828.3,2187
1,2103,34821,2252
1,2102,35850.3,2319
1,2101,36963.9,2391
1,2113,38104,2466
1,2102,39229.8,2539
1,2095,40198.7,2602
1,2103,41126.8,2663
1,2074,42054.3,2723
1,2096,43109.8,2792
1,2084,43974.9,2848
1,2094,44911.3,2909
1,2090,45820.7,2968
1,2092,46803.5,3031
1,2098,47907.2,3102
1,2103,49077.4,3179
1,2108,50219.1,3254
1,2101,51307.9,3325
1,2085,52314.4,3388
1,2086,53286.2,3450
1,2091,54266.6,3513
1,2084,55513.6,3587
1,2091,56639.8,3660
1,2107,57663.9,3727
1,2082,58726.3,3796
1,2112,59770.1,3863
1,2103,60782.8,3929
1,2082,61830.4,3997
1,2109,63116.8,4081
1,2091,64119.9,4146
1,2092,65206.9,4216
1,2075,66195.5,4280
1,2093,67272.2,4350
1,2100,68321.4,4419
1,2104,69571,4500
1,2099,70687.1,4572
1,2090,71786.5,4643
1,2096,72774.6,4707
1,2114,73869.9,4778
1,2104,74985,4849
1,2084,76128.1,4923
1,2092,77198.8,4993
1,2109,78215.5,5058
1,2113,79235.4,5124
1,2098,80272.3,5192
1,2095,81243.4,5255
1,2091,82260.3,5320
1,2095,83309.1,5388
1,2111,84398.9,5460
1,2096,85373,5523
