run,score,time,iteration,step
1,1874,18.8481,1,1
1,1881,35.238,1,2
1,1888,50.4026,1,3
1,1895,65.2119,1,4
1,1902,81.8055,1,5
1,1909,100.334,1,6
1,1915,115.82,1,7
1,1920,130.901,1,8
1,1925,145.742,1,9
1,1930,160.579,1,10
1,1935,175.37,1,11
1,1940,190.139,1,12
1,1945,205.071,1,13
1,1949,219.988,1,14
1,1953,235.392,1,15
1,1957,250.497,1,16
1,1962,265.295,1,17
1,1967,281.896,1,18
1,1971,299.596,1,19
1,1975,315.116,1,20
1,1979,330.416,1,21
1,1983,345.749,1,22
1,1987,360.56,1,23
1,1991,375.321,1,24
1,1996,390.123,1,25
1,2001,404.925,1,26
1,2004,419.934,1,27
1,2007,434.936,1,28
1,2010,449.912,1,29
1,2014,464.763,1,30
1,2017,479.561,1,31
1,2020,496.978,1,32
1,2023,513.715,1,33
1,2025,529.235,1,34
1,2027,544.251,1,35
1,2030,559.09,1,36
1,2032,573.934,1,37
1,2034,588.79,1,38
1,2036,603.483,1,39
1,2038,618.218,1,40
1,2042,632.957,1,41
1,2045,647.817,1,42
1,2047,662.645,1,43
1,2049,677.38,1,44
1,2051,693.855,1,45
1,2054,714.162,1,46
1,2056,730.244,1,47
1,2058,745.176,1,48
1,2060,759.904,1,49
1,2061,774.673,1,50
1,2064,789.457,1,51
1,2065,804.206,1,52
1,2068,818.969,1,53
1,2071,833.705,1,54
1,2073,848.465,1,55
1,2074,863.488,1,56
1,2075,878.227,1,57
1,2076,896.074,1,58
1,2077,913.608,1,59
1,2078,928.801,1,60
1,2079,943.775,1,61
1,2080,958.594,1,62
1,2081,973.603,1,63
1,2083,988.359,1,64
1,2085,1008.86,1,65
1,2086,1029.23,1,66
1,2087,1892.83,2,122
1,2088,1909.59,2,123
1,2090,1927.21,2,124
1,2091,1942.37,2,125
1,2092,1957.55,2,126
1,2093,1972.48,2,127
1,2095,4015.79,4,260
1,2096,4030.79,4,261
1,2097,4045.57,4,262
1,2098,4060.32,4,263
1,2099,4075.07,4,264
1,2100,4089.88,4,265
1,2103,4104.65,4,266
1,2104,4119.37,4,267
1,2105,4134.14,4,268
1,2106,4151.14,4,269
1,2107,4168.01,4,270
1,2108,4183.18,4,271
1,2109,4198.22,4,272
1,2110,4213.14,4,273
1,2111,13081.2,12,846
1,2112,13098.4,12,847
1,2113,33702.4,31,2179
1,2114,33717.3,31,2180
1,2115,33732,31,2181
1,2117,33746.8,31,2182
1,2118,33761.5,31,2183
1,2119,33776.2,31,2184
1,2120,33793,31,2185
1,2121,33809.8,31,2186
2,1880,16.1858,1,1
2,1888,31.0311,1,2
2,1895,45.8194,1,3
2,1902,60.7752,1,4
2,1909,77.8781,1,5
2,1916,94.1464,1,6
2,1922,109.052,1,7
2,1928,123.895,1,8
2,1934,138.693,1,9
